t0_tag,gene,sim_l2_end,sim_l2_start,scan_l2,bio_rank,mean_expr,frac_expr,is_ref,sim_rank
t115d_RG,NFIA,0.24352784,0.25081983,0.25081983,1,14.479769,0.9183526011560692,False,1
t115d_RG,PTN,0.24072023,0.21369004,0.21369004,3,13.617775,0.9082369942196532,False,2
t115d_RG,NFIB,0.22994293,0.21638176,0.21638176,2,9.111994,0.9017341040462428,False,3
t115d_RG,NRXN1,0.21541384,0.19317347,0.19317347,4,17.072977,0.9559248554913294,False,4
t115d_RG,NPAS3,0.19465542,0.17404796,0.17404796,6,15.860549,0.9566473988439308,False,5
t115d_RG,MEIS2,0.18710728,0.18026835,0.18026835,5,11.043352,0.5924855491329479,False,6
t115d_RG,AUTS2,0.18321812,0.15291363,0.15291363,9,10.314306,0.9689306358381504,False,7
t115d_RG,MIR99AHG,0.1788571,0.16689673,0.16689673,7,18.51373,0.9689306358381504,False,8
t115d_RG,TCF7L2,0.17463304,0.16204144,0.16204144,8,5.711705,0.8041907514450867,False,9
t115d_RG,QKI,0.17050375,0.13296172,0.13296172,13,13.521676,0.9393063583815028,False,10
t115d_RG,GRID2,0.16709572,0.14155376,0.14155376,10,11.590318,0.9067919075144508,False,11
t115d_RG,MAP1B,0.16153209,0.13059711,0.13059711,15,5.3063583,0.8952312138728323,False,12
t115d_RG,NKAIN3,0.15629117,0.12570629,0.12570629,16,11.422688,0.7875722543352601,False,13
t115d_RG,MIR9-1HG,0.15233377,0.13450046,0.13450046,12,4.882948,0.7702312138728323,False,14
t115d_RG,NRG3,0.14907327,0.12460221,0.12460221,17,9.588873,0.9523121387283237,False,15
t115d_RG,LINC00461,0.1484654,0.12335911,0.12335911,18,6.102601,0.8894508670520231,False,16
t115d_RG,NACA,0.14819503,0.13933608,0.13933608,11,3.3612716,0.7117052023121387,False,17
t115d_RG,ZBTB20,0.14444031,0.12178595,0.12178595,21,9.843208,0.8721098265895953,False,18
t115d_RG,SOX5,0.14386015,0.12239079,0.12239079,20,9.024567,0.9190751445086706,False,19
t115d_RG,ADGRB3,0.14325352,0.12151312,0.12151312,22,18.623554,0.9653179190751444,False,20
t115d_RG,MIR100HG,0.14271404,0.11212027,0.11212027,30,4.224711,0.865606936416185,False,21
t115d_RG,CASC15,0.1406601,0.1072548,0.1072548,32,5.155347,0.8583815028901735,False,22
